Price,Open,High,Low,Close,Volume,MA_7,MA_30,RSI,Price_Change,Volume_Change,HL_Spread,MACD,Target
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,
Date,,,,,,,,,,,,,
2019-01-30,3443.89697265625,3495.1748046875,3429.387939453125,3486.181640625,5955112627,3541.6866629464284,3709.68037109375,33.99731556049245,1.103927096757329,0.9827296356625714,65.786865234375,-80.5480656510872,0
2019-01-31,3485.4091796875,3504.804931640625,3447.915771484375,3457.792724609375,5831198271,3521.2476981026784,3696.822794596354,29.263375238661325,-0.8143269325041613,-2.0808062544137695,56.88916015625,-83.15566945185037,1
2019-02-01,3460.547119140625,3501.9541015625,3431.591552734375,3487.9453125,5422926707,3505.2733328683034,3681.640657552083,34.31988528207199,0.8720183739189036,-7.001503722321301,70.362548828125,-81.84568627938643,1
2019-02-02,3484.6259765625,3523.287353515625,3467.57470703125,3521.060791015625,5071623601,3493.6448102678573,3671.1179768880206,29.41950455775293,0.9494265405179059,-6.478109054037784,55.712646484375,-77.24494121960652,0
2019-02-03,3516.1396484375,3521.38818359375,3447.92431640625,3464.013427734375,5043937584,3476.5087541852677,3657.9945068359375,34.203063376019415,-1.620175471744556,-0.5459004685312463,73.4638671875,-77.31087146335949,0
2019-02-04,3467.211669921875,3476.223876953125,3442.5869140625,3459.154052734375,5332718886,3474.8949846540177,3645.1264892578124,35.867430741454044,-0.14028164443861124,5.7253147405322835,33.636962890625,-76.86913309064903,1
2019-02-05,3454.950927734375,3478.148193359375,3451.93701171875,3466.357421875,5227549545,3477.5007672991073,3624.783984375,32.37739617210106,0.20824077305636735,-1.9721523532039376,26.211181640625,-75.07241251858159,0
2019-02-06,3469.091796875,3469.091796875,3398.5654296875,3413.767822265625,5482196038,3467.155936104911,3604.401302083333,29.854853662526864,-1.5171430181290635,4.87124016344449,70.5263671875,-77.00438112732718,0
2019-02-07,3414.929443359375,3427.945556640625,3394.218505859375,3399.4716796875,5004962683,3458.8243582589284,3583.355428059896,26.24261927952763,-0.41877899501193694,-8.705149390719402,33.72705078125,-78.78092196801981,1
2019-02-08,3401.37646484375,3695.614013671875,3391.023681640625,3666.7802734375,7735623101,3484.3722098214284,3571.0715576171874,54.85566440226669,7.863239318839477,54.55905649956272,304.59033203125,-57.95124794613548,1
